age_start,age_end,high_systolic_blood_pressure_AND_high_ldl_cholesterol,high_systolic_blood_pressure_high_ldl_cholesterol_pval,high_systolic_blood_pressure_AND_high_body_mass_index_in_adults,high_systolic_blood_pressure_high_body_mass_index_in_adults_pval,high_ldl_cholesterol_AND_high_body_mass_index_in_adults,high_ldl_cholesterol_high_body_mass_index_in_adults_pval,high_systolic_blood_pressure_AND_high_fasting_plasma_glucose,high_systolic_blood_pressure_high_fasting_plasma_glucose_pval,high_ldl_cholesterol_AND_high_fasting_plasma_glucose,high_ldl_cholesterol_high_fasting_plasma_glucose_pval,high_body_mass_index_in_adults_AND_high_fasting_plasma_glucose,high_body_mass_index_in_adults_high_fasting_plasma_glucose_pval
0,30,0.124352703013694,1.75450622123494e-104,0.25436794939087,1.15007935564904e-69,0.111831849178635,3.3842236587748396e-86,0.338095544428334,0,0,,0.294274627434706,0
30,35,0.124352703013694,1.75450622123494e-104,0.291779118677212,2.4498773977828598e-92,0.111831849178635,3.3842236587748396e-86,0.338095544428334,0,0,,0.294274627434706,0
35,40,0.124352703013694,1.75450622123494e-104,0.312886053517888,3.07265203997725e-102,0.111831849178635,3.3842236587748396e-86,0.338095544428334,0,0,,0.294274627434706,0
40,45,0.124352703013694,1.75450622123494e-104,0.281782472381592,1.22671171948234e-82,0.111831849178635,3.3842236587748396e-86,0.338095544428334,0,0,,0.294274627434706,0
45,50,0.124352703013694,1.75450622123494e-104,0.215523619452276,2.5523917064562697e-42,0.111831849178635,3.3842236587748396e-86,0.338095544428334,0,0,,0.294274627434706,0
50,55,0.124352703013694,1.75450622123494e-104,0.157362964328942,2.71315152117328e-23,0.111831849178635,3.3842236587748396e-86,0.338095544428334,0,0,,0.294274627434706,0
55,60,0.124352703013694,1.75450622123494e-104,0.126154625793012,5.10586858878259e-13,0.111831849178635,3.3842236587748396e-86,0.338095544428334,0,0,,0.294274627434706,0
60,65,0.124352703013694,1.75450622123494e-104,0.0460176760394887,0.0022173652800868,0.111831849178635,3.3842236587748396e-86,0.338095544428334,0,0,,0.294274627434706,0
65,70,0.124352703013694,1.75450622123494e-104,0.0440232003352474,0.0092836936137274,0.111831849178635,3.3842236587748396e-86,0.338095544428334,0,0,,0.294274627434706,0
70,75,0.124352703013694,1.75450622123494e-104,0.0,0.22963628261764,0.111831849178635,3.3842236587748396e-86,0.338095544428334,0,0,,0.294274627434706,0
75,80,0.124352703013694,1.75450622123494e-104,0.0,0.11908159637828,0.111831849178635,3.3842236587748396e-86,0.338095544428334,0,0,,0.294274627434706,0
80,85,0.124352703013694,1.75450622123494e-104,0.0,0.253771455256851,0.111831849178635,3.3842236587748396e-86,0.338095544428334,0,0,,0.294274627434706,0
85,125,0.124352703013694,1.75450622123494e-104,0.0053228939315059,0.940520119561262,0.111831849178635,3.3842236587748396e-86,0.338095544428334,0,0,,0.294274627434706,0
